artist_id,Name,Type,Popularity,Genres,Followers
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,artist,79,"dance pop, pop",8396567
4SsVbpTthjScTS7U2hmr1X,Arcángel,artist,81,"latin hip hop, reggaeton, trap latino, urbano latino",11662949
14D0I0RYqvIorkPL2EWoQh,MC WM,artist,53,funk carioca,3283092
7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,artist,69,"basshall, pop urbaine, r&b francais",4169496
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,artist,71,emo rap,6952705
02kJSzxNuaWGqwubyUba0Z,G-Eazy,artist,73,"indie pop rap, oakland hip hop, pop rap, rap",5189765
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,artist,85,"latin hip hop, reggaeton, trap latino, urbano latino",33571768
4ZgQDCtRqZlhLswVS6MHN4,grandson,artist,65,"modern alternative rock, modern rock, pov: indie, rock",1076705
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,artist,75,"r&b, rap, urban contemporary",5541883
0EmeFodog0BfCgMzAIvKQp,Shakira,artist,86,"colombian pop, dance pop, latin pop, pop",30732762
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,artist,52,"adult standards, easy listening, lounge",460619
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,artist,65,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",3258896
55Aa2cqylxrFIXC767Z865,Lil Wayne,artist,84,"hip hop, new orleans rap, pop rap, rap, trap",13903935
5nP8x4uEFjAAmDzwOEc9b8,Matuê,artist,74,"r&b brasileiro, rap cearense, trap brasileiro",8877029
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,artist,81,"modern alternative rock, modern rock, pop",13233171
64KEffDW9EtZ1y2vBYgq8T,Marshmello,artist,81,"brostep, edm, pop, progressive electro house",35251835
3PhoLpVuITZKcymswpck5b,Elton John,artist,81,"glam rock, mellow gold, piano rock, rock",12024161
2R21vXR83lH98kGeO99Y66,Anuel AA,artist,86,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",31328312
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,artist,75,pop,9724329
7FNnA9vBm6EKceENgCGRMb,Anitta,artist,76,"funk pop, funk rj, pagode baiano, pop, pop nacional",13008563
2WxjxdeF7GGdcCK276qViY,Natalie Taylor,artist,56,,160181
4Gso3d4CscCijv0lmajZWs,Don Toliver,artist,81,"pop rap, rap, trap",3130447
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,artist,65,"boy band, dance pop, pop",2041803
